,smiles,mole_logp,tpsa,mol_wt,hbd,hba,valencee,max_partialcharge,min_partialcharge,rotatablebd,ringct,stereocent,dipole_moment,enthalpy,internal_energy,internal_energy_zero,free_energy,homo,lumo,gap,zero_point_vib_energy
110464,CC12CC(=O)C3CC1C23,1.2314,17.07,122.07316494,0,1,"(48,)",0.13636075820061075,-0.29936793833346753,0,3,4,3.1004,-385.888383,-385.889328,-385.89681,-385.92842,-0.2319,-0.0081,0.2238,0.16034
47294,CCC1C2OC3C2C13C,1.4297,9.23,124.088815004,0,1,"(50,)",0.06997847609982576,-0.3732541550213067,1,3,5,1.7602,-387.022343,-387.023287,-387.031963,-387.065209,-0.2241,0.0773,0.3014,0.181741
126555,C1CC23COC12CCO3,0.7083,18.46,126.06807956,0,2,"(50,)",0.12040434334122765,-0.36944615445075624,0,3,2,0.9152,-422.980576,-422.98152,-422.988661,-423.019916,-0.2453,0.0589,0.3042,0.160896
66402,CC(C)CC1CC(=O)O1,1.3479999999999999,26.3,128.083729624,0,2,"(52,)",0.30934012723390286,-0.4616302015416457,2,1,1,4.0822,-424.258218,-424.259163,-424.268817,-424.3041,-0.2733,0.0124,0.2858,0.18111
115799,CN=C(OC=O)C=O,-0.6134000000000002,55.73,115.02694302,0,4,"(44,)",0.2994334666382292,-0.40645638052027566,2,0,0,2.1855,-435.746077,-435.747021,-435.755724,-435.790337,-0.2622,-0.0996,0.1626,0.091693
46950,CC1(CO1)C1(CO1)C=O,-0.25680000000000014,42.129999999999995,128.047344116,0,3,"(50,)",0.1769768387325047,-0.366152676364446,2,2,2,3.8137,-458.91524,-458.916184,-458.925112,-458.958888,-0.2599,-0.0429,0.217,0.132395
99250,CCC12CN3C(CC1)C23,1.243,3.01,123.10479941599999,0,1,"(50,)",0.032352670739226305,-0.29308309485743456,1,3,4,1.8666,-367.176143,-367.177088,-367.185079,-367.217291,-0.2199,0.0779,0.2978,0.196395
64594,O=CC1=C(C=O)N=CO1,0.2996,60.17,125.011292956,0,4,"(46,)",0.1969934926887456,-0.43988410530368344,2,1,0,1.2178,-472.655185,-472.656129,-472.663561,-472.696214,-0.2777,-0.1091,0.1685,0.077093
55512,O=C1OCC2OC2C1=O,-1.1203,55.9,128.010958608,0,4,"(48,)",0.37715693893708646,-0.4569921220987137,0,2,2,5.6546,-493.705627,-493.706571,-493.713682,-493.745693,-0.2652,-0.084,0.1812,0.089043
88142,N=C1OC=CC=C1C#C,0.74037,36.99,119.03711378,1,2,"(44,)",0.22639831445245964,-0.4460601062647834,0,1,0,3.2411,-399.539482,-399.540426,-399.547947,-399.580019,-0.2123,-0.0635,0.1489,0.101222
42981,O=CC1=NCC2CN12,-0.7184000000000001,32.44,110.048012812,0,3,"(42,)",0.18436974132656375,-0.34542271161938337,1,2,2,3.47,-378.699188,-378.700132,-378.706656,-378.737565,-0.2557,-0.0757,0.18,0.108288
12486,CC1C2CC1(C)N1CC21,1.0989,3.01,123.10479941599999,0,1,"(50,)",0.02613470257506171,-0.2915713062952217,0,4,5,1.3974,-367.154099,-367.155043,-367.163127,-367.194939,-0.2223,0.0915,0.3138,0.195475
26740,CC1C2(C)OC1(C)C=C2,1.7399,9.23,124.088815004,0,1,"(50,)",0.09028340431515931,-0.3601654542270739,0,3,2,1.5643,-387.055309,-387.056253,-387.065251,-387.09789,-0.2287,0.0075,0.2362,0.180311
100283,CN=C1C=C(O)NN=N1,-0.9592000000000003,74.16,126.05416081199999,2,4,"(48,)",0.2096768381623319,-0.49348864441791074,0,1,0,4.7513,-450.080076,-450.08102,-450.089629,-450.123257,-0.2118,-0.0552,0.1566,0.111685
51393,CC(O)C(C=O)N(C)C,-0.5037,40.54,131.094628656,1,3,"(54,)",0.13923874651314838,-0.3913209742646396,3,0,2,2.8813,-441.454962,-441.455906,-441.467149,-441.503667,-0.2016,-0.0203,0.1813,0.190183
43391,CCC1(CO)CC2NC12,0.11920000000000003,42.17,127.099714036,2,2,"(52,)",0.05029483287245904,-0.3957340799603892,2,2,3,1.4539,-404.28738,-404.288324,-404.297825,-404.332113,-0.2286,0.0617,0.2904,0.193881
27298,CC1C2CC11C=CCC21,2.2184999999999997,0.0,120.093900384,0,0,"(48,)",-0.005308889850053463,-0.08763980018838481,0,4,4,0.2704,-349.879967,-349.880911,-349.888266,-349.919515,-0.2309,0.0152,0.2461,0.184808
83893,CC1(C)C2OC11CNC21,0.1356,21.259999999999998,125.084063972,1,2,"(50,)",0.10640113253107071,-0.365621010285555,0,4,3,1.5693,-402.966574,-402.967518,-402.975768,-403.007722,-0.2243,0.038,0.2622,0.169207
127026,CC(=O)C1C2N1CC2=O,-0.7891000000000001,37.15,125.047678464,0,3,"(48,)",0.16554111267015578,-0.29816719064359865,1,2,3,3.2248,-437.856798,-437.857743,-437.866166,-437.900619,-0.2516,-0.0408,0.2108,0.12214
106644,OCC1OC2C(O)C2O1,-1.5367000000000002,58.92,132.042258736,2,4,"(52,)",0.18122482421200423,-0.39109310072145326,1,2,2,2.7511,-496.052537,-496.053481,-496.061293,-496.093539,-0.235,0.0651,0.3002,0.136066
51487,O=C1CCCC(=O)N1,-0.1869,46.17,113.047678464,1,2,"(44,)",0.2260564874469714,-0.2964640220418771,0,1,0,3.105,-399.883827,-399.884771,-399.891613,-399.922941,-0.2599,-0.025,0.2349,0.121259
97874,FC(F)(F)CC(=O)C#C,1.1410999999999998,17.07,136.013599376,0,1,"(50,)",0.3964165945237761,-0.2845444540823324,1,0,0,4.1204,-566.960942,-566.961886,-566.970591,-567.005415,-0.2838,-0.0746,0.2091,0.070942
123818,CC1CN2CC2(C)CO1,0.47940000000000005,12.24,127.099714036,0,2,"(52,)",0.06745999956915363,-0.3752119623076872,0,2,3,0.5004,-404.323612,-404.324556,-404.3334,-404.366414,-0.2163,0.0879,0.3042,0.194625
101437,N=COC12CC1OC2=O,-0.32203000000000004,59.38,127.02694302,1,4,"(48,)",0.35461756454504245,-0.4615357987824418,2,2,2,3.7673,-473.788766,-473.78971,-473.797626,-473.831361,-0.2746,-0.0186,0.256,0.099446
87046,CC(C)(O)C1(CN1)C=O,-0.7018000000000002,59.24,129.078978592,2,3,"(52,)",0.14378674834359403,-0.388021250965901,2,1,1,2.6827,-440.264488,-440.265432,-440.275353,-440.309309,-0.2485,-0.0255,0.223,0.168011
131895,C#CCOC12CC1CC2,1.1887,9.23,122.07316494,0,1,"(48,)",0.1077180897445108,-0.3620432628786643,2,2,2,1.0579,-385.798752,-385.799696,-385.808627,-385.843037,-0.248,0.0341,0.2821,0.157288
21733,O=CC1CN2C=CN=C12,0.17919999999999991,34.89,122.048012812,0,3,"(46,)",0.1319141715174995,-0.3331105421954861,1,2,1,2.8048,-416.803626,-416.80457,-416.811907,-416.844656,-0.2248,-0.0379,0.1869,0.114108
34154,CNC(CO)(C#N)C#N,-1.0159400000000003,79.84,125.058911844,2,4,"(48,)",0.21632199191910817,-0.39217721630351593,2,0,0,3.9781,-434.048054,-434.048998,-434.05896,-434.093858,-0.2774,-0.0206,0.2568,0.122624
130298,CC12OC3(C#C)C1NC23,-0.49870000000000014,21.259999999999998,121.052763844,1,2,"(46,)",0.16478429401791087,-0.3490723461283506,0,5,2,1.0992,-400.595623,-400.596567,-400.604437,-400.636491,-0.2404,0.0063,0.2467,0.122084
104184,CC1OCOCC1=NO,0.20939999999999998,51.05,131.058243148,1,4,"(52,)",0.14761922174048578,-0.4107570325675294,0,1,1,1.5737,-476.168728,-476.169672,-476.178267,-476.211534,-0.2533,-0.0037,0.2496,0.147363
56809,OCC1OC2CC(=O)C12,-0.6649,46.53,128.047344116,1,3,"(50,)",0.14339689116158322,-0.39364974417367027,1,2,3,2.6689,-458.927763,-458.928708,-458.936856,-458.970193,-0.2534,-0.036,0.2174,0.135027
55683,CC1C2OC3(COC3)C12,0.4200999999999999,18.46,126.06807956,0,2,"(50,)",0.12061221302592456,-0.37523954028745093,0,3,3,2.4818,-422.949774,-422.950718,-422.958849,-422.991692,-0.2405,0.0668,0.3073,0.158588
62133,CC1(CC=O)OC1C=O,-0.06820000000000004,46.67,128.047344116,0,3,"(50,)",0.15128380337891703,-0.35790292731070356,3,1,2,2.9335,-458.948046,-458.94899,-458.958632,-458.994115,-0.2587,-0.0556,0.2031,0.13128
