,smiles,mole_logp,tpsa,mol_wt,hbd,hba,valencee,max_partialcharge,min_partialcharge,rotatablebd,ringct,stereocent,dipole_moment,enthalpy,internal_energy,internal_energy_zero,free_energy,homo,lumo,gap,zero_point_vib_energy
37107,CN=CN1CC(C)C1=O,0.12280000000000002,32.67,126.07931294,0,2,"(50,)",0.23183271444695777,-0.30222224034276307,1,1,1,4.5723,-419.221855,-419.222799,-419.232464,-419.267586,-0.2397,-0.0159,0.2237,0.157939
94828,COC1(C)C2OC2C1C,0.8085999999999999,21.759999999999998,128.083729624,0,2,"(52,)",0.11348436132410923,-0.37532745661487815,1,2,4,2.0598,-424.170151,-424.171095,-424.18081,-424.215123,-0.2446,0.0824,0.327,0.179528
72925,CC1=NC(CO)C(=O)N1,-1.1045,61.690000000000005,128.058577496,2,3,"(50,)",0.252018425460982,-0.3935875825320934,1,1,1,4.656,-455.192008,-455.192952,-455.201751,-455.235551,-0.2498,-0.018,0.2318,0.136232
443,CC(C)C1=CNC(=O)N1,0.8264,48.65,126.07931294,2,1,"(50,)",0.3225665389742333,-0.3126377133940754,1,1,0,4.0799,-419.269484,-419.270429,-419.279755,-419.313999,-0.1882,0.0458,0.2339,0.159685
28109,CC12C3OC1C(=N)OC23,0.14977000000000001,42.31,125.047678464,1,3,"(48,)",0.21124289936132565,-0.47231552300804364,0,3,4,3.8055,-437.839517,-437.840461,-437.847541,-437.878911,-0.2373,0.0031,0.2404,0.125092
48005,CC1(CO)CC2NC12,-0.2709000000000001,42.17,113.084063972,2,2,"(46,)",0.05003896508943028,-0.3957448646535566,1,2,3,2.8064,-365.001439,-365.002383,-365.010551,-365.04261,-0.2255,0.0736,0.299,0.165207
61253,C1OC2OC3C=CC2C13,0.5437000000000001,18.46,124.052429496,0,2,"(48,)",0.1645594546508187,-0.35156042442525565,0,3,4,2.3984,-421.81977,-421.820714,-421.826494,-421.856276,-0.2355,-0.0004,0.2351,0.140015
75443,CC1NC2(CC12O)C#N,-0.6247200000000002,56.05,124.063662876,2,3,"(48,)",0.14006849391256607,-0.38508272486596345,0,2,3,4.3141,-417.962829,-417.963773,-417.972674,-418.006117,-0.2278,0.0085,0.2363,0.134965
127985,CC(C#N)C1CC(=O)N1,0.03457999999999989,52.89,124.063662876,1,2,"(48,)",0.22188223400915197,-0.35147021534038697,1,1,2,6.0867,-418.037995,-418.038939,-418.047876,-418.08208,-0.2595,0.0206,0.2801,0.135577
21268,OC(C#C)C1=COC=C1,0.9462000000000002,33.370000000000005,122.036779432,1,2,"(46,)",0.14256414660101846,-0.47219568105114534,1,1,1,1.416,-420.595269,-420.596214,-420.604449,-420.637858,-0.2286,0.0112,0.2398,0.111802
24362,OC1CC(C#N)C2CC12,0.52688,44.019999999999996,123.068413908,1,2,"(48,)",0.06593531740662921,-0.392781739054906,0,2,4,4.1959,-401.95141,-401.952355,-401.96043,-401.993143,-0.2743,0.034,0.3083,0.149302
93553,OC1C2OC(=O)C12C#N,-1.2037200000000001,70.32,125.011292956,1,4,"(46,)",0.3333461738490768,-0.45567271141202415,0,2,3,4.4246,-472.606859,-472.607804,-472.61524,-472.647399,-0.292,-0.0394,0.2526,0.076698
91510,FC1=C(F)C(=O)NN=C1,0.048099999999999976,45.75,132.013519124,1,2,"(48,)",0.30274933940910603,-0.2645343733305777,0,1,0,2.8855,-537.946698,-537.947642,-537.954441,-537.985949,-0.2526,-0.0694,0.1832,0.065714
22084,OC1COC2C1OC2=N,-0.8778300000000001,62.54,129.042593084,2,4,"(50,)",0.21452936669813708,-0.4696123960195304,0,2,3,2.9726,-475.002834,-475.003778,-475.011337,-475.043556,-0.263,0.0089,0.2719,0.12517
50952,OC1C2CC3OC2C13O,-1.1207000000000003,49.69,128.047344116,2,3,"(50,)",0.14312029968238757,-0.38951429336743626,0,5,5,2.9808,-458.900521,-458.901466,-458.908767,-458.940036,-0.2371,0.0643,0.3014,0.136502
893,COC1CCC1=O,0.36430000000000007,26.3,100.052429496,0,2,"(40,)",0.1611607536962214,-0.3736712982967174,1,1,1,2.1314,-345.638604,-345.639549,-345.646864,-345.678501,-0.2268,-0.026,0.2009,0.123559
