,smiles,mole_logp,tpsa,mol_wt,hbd,hba,valencee,max_partialcharge,min_partialcharge,rotatablebd,ringct,stereocent,dipole_moment,enthalpy,internal_energy,internal_energy_zero,free_energy,homo,lumo,gap,zero_point_vib_energy
37117,CCCN1CC(C1)=NO,0.5422,35.83,128.094963004,1,3,"(52,)",0.0850132535347567,-0.4108270373677441,2,1,0,0.8941,-420.328006,-420.32895,-420.33895,-420.374492,-0.2192,0.0059,0.2251,0.180608
94833,OCCCC1NC1CO,-0.9084000000000003,62.400000000000006,131.094628656,3,3,"(54,)",0.059949712429886184,-0.39637550710249453,4,1,2,1.8669,-441.434628,-441.435572,-441.446227,-441.483482,-0.2473,0.0709,0.3182,0.193443
72931,O=CNC1=NCCC1=O,-0.8963000000000001,58.53,126.042927432,1,3,"(48,)",0.21225429206667085,-0.31064325534483533,1,1,0,2.9071,-453.995479,-453.996423,-454.004486,-454.038015,-0.2495,-0.0748,0.1747,0.113238
443,CCC1C2OC1C2C,1.4297,9.23,112.088815004,0,1,"(46,)",0.0681988839070778,-0.3734488309594325,1,3,2,1.8859,-348.930656,-348.9316,-348.939796,-348.972332,-0.2337,0.0881,0.3218,0.176326
28116,C1CCC2=CN=NN2C1,0.6144000000000001,30.71,123.07964728799999,0,3,"(48,)",0.07246177600366216,-0.2494237289150368,0,2,0,5.3563,-398.148272,-398.149216,-398.15611,-398.187488,-0.241,0.0088,0.2498,0.152562
48009,CN(C)CC(=O)C#N,-0.3593200000000001,44.1,112.063662876,0,3,"(44,)",0.24530350133667403,-0.30136425109810694,2,0,0,4.199,-379.910922,-379.911866,-379.920959,-379.955482,-0.2407,-0.0864,0.1543,0.128079
61261,CN=C1OCCOC1=O,-0.41189999999999993,47.89,129.042593084,0,4,"(50,)",0.3934264090931008,-0.46915671228496464,0,1,0,3.3644,-475.038559,-475.039503,-475.04783,-475.081442,-0.2492,-0.053,0.1962,0.124156
75451,CC(C#C)C1CC1C,1.9117,0.0,108.093900384,0,0,"(44,)",0.020236043032357008,-0.11981218227660502,1,1,3,0.6065,-311.818808,-311.819752,-311.829111,-311.863025,-0.2555,0.0562,0.3117,0.174845
127987,CC1(N)CC2OC12C#N,-0.23131999999999997,62.339999999999996,124.063662876,1,3,"(48,)",0.19769615147771408,-0.34786160711955444,0,2,3,5.1934,-417.965498,-417.966442,-417.975088,-418.007935,-0.2537,-0.0021,0.2516,0.134823
21270,CC1(O)CCOCC1O,-0.4814000000000002,49.69,132.078644244,2,3,"(54,)",0.10574365564252554,-0.38771881339349384,0,1,2,2.1952,-461.362173,-461.363118,-461.372167,-461.404978,-0.2461,0.0648,0.3109,0.182471
24367,CN1C(=O)C2CN2C1=O,-0.7374,40.39,126.042927432,0,2,"(48,)",0.3268284125425973,-0.30780317983690997,0,2,2,1.5776,-453.988791,-453.989736,-453.997554,-454.03094,-0.2688,-0.0324,0.2364,0.113636
93559,OC1C=CC2(CC12)C#C,0.5566,20.23,120.057514876,1,1,"(46,)",0.07673850024045498,-0.388685284744599,0,2,3,1.3899,-384.635118,-384.636062,-384.644287,-384.676737,-0.2284,0.0012,0.2296,0.135173
91512,NC1=CN2CC(O)C2=N1,-0.48769999999999997,64.07,125.058911844,2,4,"(48,)",0.14164460111301125,-0.3832774407885326,0,2,1,3.0197,-434.049223,-434.050168,-434.05811,-434.090574,-0.1884,0.0184,0.2068,0.126279
22086,CCC1=C(O)N=CO1,0.9425999999999999,46.260000000000005,113.047678464,1,3,"(44,)",0.2530751715292186,-0.49080586424112077,1,1,0,0.505,-399.830989,-399.831933,-399.839536,-399.871935,-0.211,0.0054,0.2163,0.119366
50957,N#CC1=CC(=NN1)C#N,0.15305999999999997,76.25999999999999,118.02794606399999,1,3,"(42,)",0.16312638984159789,-0.2666091454415934,0,1,0,2.4872,-410.62488,-410.625824,-410.632873,-410.664791,-0.2945,-0.0742,0.2203,0.068656
894,CC1C2CC(=O)C(O)C12,0.2022,37.3,126.06807956,1,2,"(50,)",0.16137152006755417,-0.38501657267413164,0,2,4,2.5726,-423.034394,-423.035338,-423.043794,-423.076675,-0.2481,-0.0291,0.219,0.159221
39977,CC1=NN2CC(O)C2=C1,0.23852,38.05,124.063662876,1,3,"(48,)",0.11513988459718655,-0.3848672207370643,0,2,1,0.932,-417.983808,-417.984752,-417.992962,-418.026272,-0.2344,0.0189,0.2533,0.137061
11779,CCC1COC1CC,1.8214000000000001,9.23,114.104465068,0,1,"(48,)",0.06222289585364003,-0.3774642733885619,2,1,2,1.7531,-350.187316,-350.18826,-350.197736,-350.23302,-0.239,0.0823,0.3213,0.199514
86055,CC1CCC2C(O)C2O1,0.5446,29.46,128.083729624,1,2,"(52,)",0.08944998985840713,-0.39001535980331803,0,2,4,2.0057,-424.208834,-424.209778,-424.218219,-424.250886,-0.231,0.0746,0.3056,0.183634
41033,CC(O)C1CCOC1,0.4037,29.46,116.083729624,1,2,"(48,)",0.05626286095854833,-0.39303772940918585,1,1,2,2.8043,-386.13527,-386.136214,-386.144756,-386.1783,-0.2381,0.0625,0.3006,0.177752
118612,OCC1CC2(CC2)C1O,0.1397,40.46,128.083729624,2,2,"(52,)",0.064630352147388,-0.3959851537255007,1,2,2,1.6203,-424.17931,-424.180254,-424.189752,-424.224078,-0.2447,0.0592,0.3038,0.181599
26352,COC(C)(C#N)C(N)=N,-0.14895000000000003,82.88999999999999,127.07456190799999,2,3,"(50,)",0.2070559659108463,-0.3842871440505124,2,0,1,4.2369,-435.262333,-435.263278,-435.27349,-435.308563,-0.2511,-0.0005,0.2507,0.145551
