,smiles,mole_logp,tpsa,mol_wt,hbd,hba,valencee,max_partialcharge,min_partialcharge,rotatablebd,ringct,stereocent,dipole_moment,enthalpy,internal_energy,internal_energy_zero,free_energy,homo,lumo,gap,zero_point_vib_energy
80704,OCC(C#C)C#CC#C,-0.1353000000000002,20.23,118.041864812,1,1,"(44,)",0.10483792114720411,-0.394070244546605,1,0,1,1.011,-383.379422,-383.380366,-383.390139,-383.425247,-0.2487,-0.0227,0.226,0.109023
65243,OC1C2NC1(C#C)C2O,-1.9344000000000001,52.489999999999995,125.047678464,3,3,"(48,)",0.13571108434952975,-0.38830168785601,0,3,2,2.9389,-437.764349,-437.765293,-437.773455,-437.805879,-0.2457,0.0183,0.264,0.123328
127044,C1C2C3CC(CCO3)N12,0.2318,12.24,125.084063972,0,2,"(50,)",0.0757241957200529,-0.37641588577650575,0,3,4,1.2046,-403.111686,-403.11263,-403.119162,-403.149575,-0.2233,0.0819,0.3052,0.175386
78132,CC1=CC2CC(O2)C1O,0.46469999999999995,29.46,126.06807956,1,2,"(50,)",0.10109647714573833,-0.38604526584550597,0,3,3,2.0914,-423.006427,-423.007371,-423.015176,-423.047111,-0.2388,0.0018,0.2405,0.160473
90425,CC1CC1(O)CCC=O,0.7363999999999999,37.3,128.083729624,1,2,"(52,)",0.11959983221253594,-0.3895875140680286,3,1,2,2.1074,-424.213274,-424.214219,-424.224729,-424.261135,-0.2481,-0.0208,0.2273,0.178994
113098,CNC1=CN=CC(O)=N1,0.22389999999999982,58.040000000000006,125.058911844,2,4,"(48,)",0.23127701913212625,-0.4921283459046016,1,1,0,3.6757,-434.119041,-434.119985,-434.128136,-434.161073,-0.2058,-0.0258,0.18,0.12617
105930,CC(N1CC1)C(N)=O,-0.8242,46.1,114.07931294,1,2,"(46,)",0.23399390631371764,-0.3683212410774515,2,1,1,3.07,-381.112475,-381.11342,-381.122384,-381.15611,-0.2202,0.0222,0.2425,0.15297
125628,O=CC(=O)CCC#C,0.16779999999999995,34.14,110.036779432,0,2,"(42,)",0.19563053887016657,-0.2946108291838663,3,0,0,0.319,-382.515532,-382.516476,-382.525251,-382.559815,-0.2553,-0.1011,0.1542,0.103122
27693,COC1C2C3NC3C12O,-1.2837000000000003,51.400000000000006,127.063328528,2,3,"(50,)",0.11484108540457455,-0.3849956401115039,1,3,5,1.0722,-438.950891,-438.951836,-438.960551,-438.994135,-0.2023,0.0662,0.2685,0.145383
32579,CC(O)C1CC2CC12C,1.4133,20.23,126.104465068,1,1,"(52,)",0.05451925347478147,-0.3931081963955949,1,2,4,1.4613,-388.258561,-388.259505,-388.269337,-388.303628,-0.237,0.0716,0.3086,0.204474
103608,CC12CC1C(=O)C2(C)C,1.6215,17.07,124.088815004,0,1,"(50,)",0.14221361526524678,-0.2987483250181228,0,2,2,3.3054,-387.087,-387.087944,-387.097457,-387.130936,-0.2306,-0.0048,0.2258,0.180452
64854,C1NC1C12CC(CC1)O2,0.2796999999999996,31.17,125.084063972,1,2,"(50,)",0.08760452691413317,-0.36987414245786565,1,4,3,1.0829,-403.09247,-403.093414,-403.101,-403.133584,-0.2405,0.073,0.3135,0.173327
